COD	EMPRESA	ZONA	COD_VEN	VENDEDOR	COD_CLIENTE	CLIENTE	TD	DOCUMENTO	FECHA_EMISION	FECHA_VENCIMIENTO	MES_EMI	ANIO_EMI	DIAS_PLAZO	MON	TIPCAMV	TIPCAMC	IMPORTEDOC	CODAGE	AGENCIA	ITEM	PRODUCTO	PRESENTACION	UNID_KG/L	TOT_VOLUMEN	CODIGO	DESCRI	CANTI	PRECIO	UNID	VALORVTA	IGV	PRECIOVTA	VALORVTA_US	VALORVTA_MN	PRECIOVTA_US	PRECIOVTA_MN
0002	CAISAC	CHICLAYO-LAMBAYEQUE-OLMOS-MOTUPE-CHEPEN-	307  	GUILLERMO HENCKELL	20133417452	AGROPECUARIA CHIMU SRL	FT	0040021734	05/12/2008	05/03/2009	Diciembre	2008	90	MN	3.116	3.115	1735.02	0001	LIMA	0001	KELTEX CALCIO BORO	1.000	LT	120.000	2110070008	KELTEX CALCIO BORO (FCO 1 LT) MICROELEMNTO	120.000	12.15	1LT	1458.00	277.02	1735.02	468.058	1458.000	556.989	1735.020	
0002	CAISAC	CHICLAYO-LAMBAYEQUE-OLMOS-MOTUPE-CHEPEN-	307  	GUILLERMO HENCKELL	20133417452	AGROPECUARIA CHIMU SRL	FT	0040022058	30/01/2009	30/04/2009	Enero	2009	90	MN	3.167	3.167	6536.67	0001	LIMA	0001	PLENTYPHOS P	1.000	LT	120.000	2110070004	PLENTYPHOS-P(FCO. 1 LT) NUTRIENTE FOLIAR	120.000	12.15	1LT	1458.00	277.02	1735.02	460.373	1458.000	547.843	1735.020	
0002	CAISAC	CHICLAYO-LAMBAYEQUE-OLMOS-MOTUPE-CHEPEN-	307  	GUILLERMO HENCKELL	20133417452	AGROPECUARIA CHIMU SRL	FT	0040022058	30/01/2009	30/04/2009	Enero	2009	90	MN	3.167	3.167	6536.67	0001	LIMA	0002	FRUTYFLOR - PK	1.000	LT	60.000	2110070002	FRUTYFLOR-PK(FCO. 1 LT) NUTRIENTE FOLIAR	60.000	12.15	1LT	729.00	138.51	867.51	230.186	729.000	273.922	867.510	
0002	CAISAC	CHICLAYO-LAMBAYEQUE-OLMOS-MOTUPE-CHEPEN-	307  	GUILLERMO HENCKELL	20133417452	AGROPECUARIA CHIMU SRL	FT	0040022058	30/01/2009	30/04/2009	Enero	2009	90	MN	3.167	3.167	6536.67	0001	LIMA	0003	GIB-BEX	.125	LT	25.000	2110120010	GIB-BEX ( FCO 125 ML) BI0ESTIMULANTE	200.000	7.43	ML	1485.00	282.15	1767.15	468.898	1485.000	557.989	1767.150	
0002	CAISAC	CHICLAYO-LAMBAYEQUE-OLMOS-MOTUPE-CHEPEN-	307  	GUILLERMO HENCKELL	20133417452	AGROPECUARIA CHIMU SRL	FT	0040022058	30/01/2009	30/04/2009	Enero	2009	90	MN	3.167	3.167	6536.67	0001	LIMA	0004	ACIDYF	1.000	LT	60.000	2110010001	ACIDYF-PH1(FCO. 1 LT) NUTRIENTE FOLIAR	60.000	15.95	1LT	957.00	181.83	1138.83	302.179	957.000	359.593	1138.830	
0002	CAISAC	CHICLAYO-LAMBAYEQUE-OLMOS-MOTUPE-CHEPEN-	307  	GUILLERMO HENCKELL	20133417452	AGROPECUARIA CHIMU SRL	FT	0040022058	30/01/2009	30/04/2009	Enero	2009	90	MN	3.167	3.167	6536.67	0001	LIMA	0005	FITAMINAS	1.000	LT	12.000	2110120006	FITAMINAS(FCO.1 LT) BIOESTIMULANTE	12.000	72.00	1LT	864.00	164.16	1028.16	272.813	864.000	324.648	1028.160	
0002	CAISAC	TRUJILLO-PAIJAN-VIRU-CHAO (CADENA TIENDA	310  	JUAN CARCOVICH	20133417452	AGROPECUARIA CHIMU SRL	FT	0040022335	02/03/2009	31/05/2009	Marzo	2009	90	MN	3.251	3.249	2008.66	0001	LIMA	0001	KLOROFILA	1.000	LT	121.000	2110080004	KLOROFILA( FCO. 1LT) MICROELEMENTOS	121.000	13.95	1LT	1687.95	320.71	2008.66	519.529	1687.950	618.239	2008.660	
0002	CAISAC	CHICLAYO-LAMBAYEQUE-OLMOS-MOTUPE-CHEPEN-	307  	GUILLERMO HENCKELL	20133417452	AGROPECUARIA CHIMU SRL	FT	0040022372	06/03/2009	04/06/2009	Marzo	2009	90	US	3.254	3.252	1824.98	0001	LIMA	0001	FRUTYFLOR - PK	1.000	LT	120.000	2110070002	FRUTYFLOR-PK(FCO. 1 LT) NUTRIENTE FOLIAR	120.000	4.50	1LT	540.00	102.60	642.60	540.000	1756.080	642.600	2089.735	
0002	CAISAC	CHICLAYO-LAMBAYEQUE-OLMOS-MOTUPE-CHEPEN-	307  	GUILLERMO HENCKELL	20133417452	AGROPECUARIA CHIMU SRL	FT	0040022372	06/03/2009	04/06/2009	Marzo	2009	90	US	3.254	3.252	1824.98	0001	LIMA	0002	KELTEX CALCIO BORO	1.000	LT	120.000	2110070008	KELTEX CALCIO BORO (FCO 1 LT) MICROELEMNTO	120.000	4.05	1LT	486.00	92.34	578.34	486.000	1580.472	578.340	1880.762	
0002	CAISAC	CHICLAYO-LAMBAYEQUE-OLMOS-MOTUPE-CHEPEN-	307  	GUILLERMO HENCKELL	20133417452	AGROPECUARIA CHIMU SRL	FT	0040022372	06/03/2009	04/06/2009	Marzo	2009	90	US	3.254	3.252	1824.98	0001	LIMA	0003	KLOROFILA	1.000	LT	60.000	2110080004	KLOROFILA( FCO. 1LT) MICROELEMENTOS	60.000	4.50	1LT	270.00	51.30	321.30	270.000	878.040	321.300	1044.868	
